DATE,AGE_GROUP,CASE_COUNT
2021-01-16,75+,37692
2021-01-15,0-17,35627
2021-01-15,18-44,191094
2021-01-15,45-64,211340
2021-01-15,65-74,44353
2021-01-15,75+,37385
2021-01-14,0-17,34801
2021-01-14,18-44,188363
2021-01-14,45-64,208639
2021-01-14,65-74,43831
2021-01-14,75+,37022
2021-01-13,0-17,34121
2021-01-13,18-44,186234
2021-01-13,45-64,206678
2021-01-13,65-74,43482
2021-01-13,75+,36740
2021-01-12,0-17,33500
2021-01-12,18-44,184147
2021-01-12,45-64,204837
2021-01-12,65-74,43134
2021-01-12,75+,36502
2021-01-11,0-17,32820
2021-01-11,18-44,181753
2021-01-11,45-64,202676
2021-01-11,65-74,42722
2021-01-11,75+,36241
2021-01-10,0-17,32224
2021-01-10,18-44,179786
2021-01-10,45-64,200944
2021-01-10,65-74,42397
2021-01-10,75+,35969
2021-01-09,0-17,31562
2021-01-09,18-44,177453
2021-01-09,45-64,198870
2021-01-09,65-74,42005
2021-01-09,75+,35687
2021-01-08,0-17,30932
2021-01-08,18-44,175226
2021-01-08,45-64,196899
2021-01-08,65-74,41657
2021-01-08,75+,35428
2021-01-07,0-17,30285
2021-01-07,18-44,172743
2021-01-07,45-64,194762
2021-01-07,65-74,41221
2021-01-07,75+,35138
2021-01-06,0-17,29676
2021-01-06,18-44,170466
2021-01-06,45-64,192506
2021-01-06,65-74,40798
2021-01-06,75+,34839
2021-01-05,0-17,29227
2021-01-05,18-44,168550
2021-01-05,45-64,190780
2021-01-05,65-74,40506
2021-01-05,75+,34653
2021-01-04,0-17,28768
2021-01-04,18-44,166759
2021-01-04,45-64,188971
2021-01-04,65-74,40181
2021-01-04,75+,34440
2021-01-03,0-17,28377
2021-01-03,18-44,165460
2021-01-03,45-64,187828
2021-01-03,65-74,39936
2021-01-03,75+,34247
2021-01-02,0-17,27978
2021-01-02,18-44,164165
2021-01-02,45-64,186604
2021-01-02,65-74,39683
2021-01-02,75+,34044
2021-01-01,0-17,27317
2021-01-01,18-44,161850
2021-01-01,45-64,184542
2021-01-01,65-74,39248
2021-01-01,75+,33766
2020-12-31,0-17,26744
2020-12-31,18-44,159662
2020-12-31,45-64,182610
2020-12-31,65-74,38840
2020-12-31,75+,33432
2020-12-30,0-17,26354
2020-12-30,18-44,157956
2020-12-30,45-64,180961
2020-12-30,65-74,38454
2020-12-30,75+,33168
2020-12-29,0-17,25936
2020-12-29,18-44,156405
